dataset,class,k_shot,task,mode,semantic_auroc,memory_auroc,branch_gap,weak_branch,auroc
visa,candle,2,seg,harmonic,66.96730449632544,94.17911646055977,27.21181196423433,semantic,94.17911646055977
visa,chewinggum,1,seg,harmonic,73.14234075869419,99.54255825781965,26.40021749912546,semantic,99.54255825781965
visa,chewinggum,1,seg,oracle,72.77213897194461,99.03873471946389,26.266595747519276,semantic,99.03873471946389
visa,chewinggum,1,seg,max,72.77213897194461,99.03873471946389,26.266595747519276,semantic,99.03873471946389
mvtec,cable,2,seg,oracle,70.28381667548348,96.00464198990927,25.720825314425795,semantic,96.00464198990927
mvtec,cable,2,seg,max,70.28381667548348,96.00464198990927,25.720825314425795,semantic,96.00464198990927
mvtec,cable,2,seg,harmonic,69.76853519771322,95.30078986381064,25.532254666097415,semantic,95.30078986381064
visa,pipe_fryum,4,cls,max,73.178,98.6,25.421999999999997,semantic,98.60200000000002
visa,pipe_fryum,4,cls,harmonic,73.178,98.6,25.421999999999997,semantic,96.57
visa,pipe_fryum,4,cls,oracle,73.178,98.6,25.421999999999997,semantic,100.0
visa,pcb3,4,seg,max,71.34381822613062,96.40106196751977,25.057243741389144,semantic,96.40106196751977
visa,pcb3,4,seg,oracle,71.34381822613062,96.40106196751977,25.057243741389144,semantic,96.40106196751977
mvtec,toothbrush,1,seg,oracle,73.69401080695785,98.32143698753197,24.62742618057412,semantic,98.32143698753197
mvtec,toothbrush,1,seg,max,73.69401080695785,98.32143698753197,24.62742618057412,semantic,98.32143698753197
mvtec,toothbrush,2,cls,max,69.58333333333333,94.16666666666667,24.583333333333343,semantic,94.02777777777779
mvtec,toothbrush,2,cls,oracle,69.58333333333333,94.16666666666667,24.583333333333343,semantic,100.0
mvtec,toothbrush,2,cls,harmonic,69.58333333333333,94.16666666666667,24.583333333333343,semantic,78.05555555555556
mvtec,toothbrush,1,seg,harmonic,73.54565998354288,98.12350955792508,24.5778495743822,semantic,98.12350955792508
visa,pcb3,4,seg,harmonic,69.55214413226999,93.98011941577114,24.427975283501155,semantic,93.98011941577114
mvtec,toothbrush,4,seg,oracle,75.07742227592081,99.08344649739867,24.00602422147786,semantic,99.08344649739867
mvtec,toothbrush,4,seg,max,75.07742227592081,99.08344649739867,24.00602422147786,semantic,99.08344649739867
mvtec,toothbrush,4,seg,harmonic,74.78980999140461,98.70387011423354,23.91406012282893,semantic,98.70387011423354
mvtec,zipper,4,seg,harmonic,95.5719052258558,72.42156845865114,23.150336767204664,memory,95.5719052258558
mvtec,tile,2,seg,max,73.92617725604167,97.03595078562476,23.109773529583094,semantic,97.03595078562476
mvtec,tile,2,seg,oracle,73.92617725604167,97.03595078562476,23.109773529583094,semantic,97.03595078562476
mvtec,transistor,1,cls,max,90.25,67.29166666666666,22.958333333333343,memory,90.25
mvtec,transistor,1,cls,harmonic,90.25,67.29166666666666,22.958333333333343,memory,70.70833333333333
mvtec,transistor,1,cls,oracle,90.25,67.29166666666666,22.958333333333343,memory,100.0
mvtec,screw,1,seg,oracle,69.12948151564949,91.94840666527537,22.818925149625883,semantic,91.94840666527537
mvtec,screw,1,seg,max,69.12948151564949,91.94840666527537,22.818925149625883,semantic,91.94840666527537
mvtec,tile,2,seg,harmonic,72.9320070755108,95.73099694800908,22.798989872498282,semantic,95.73099694800908
mvtec,zipper,4,seg,oracle,92.82149906901161,70.33739186610269,22.484107202908916,memory,92.82149906901161
mvtec,zipper,4,seg,max,92.82149906901161,70.33739186610269,22.484107202908916,memory,92.82149906901161
mvtec,screw,1,seg,harmonic,67.96532466782877,90.39997371136478,22.434649043536012,semantic,90.39997371136478
mvtec,toothbrush,1,cls,oracle,72.77777777777777,94.44444444444446,21.666666666666686,semantic,99.16666666666666
mvtec,toothbrush,1,cls,harmonic,72.77777777777777,94.44444444444446,21.666666666666686,semantic,88.05555555555557
mvtec,toothbrush,1,cls,max,72.77777777777777,94.44444444444446,21.666666666666686,semantic,93.6111111111111
visa,fryum,2,seg,harmonic,75.68286903227015,97.03140729800445,21.348538265734305,semantic,97.03140729800445
mvtec,zipper,2,cls,harmonic,94.22268907563026,73.05672268907564,21.165966386554615,memory,75.95850840336135
mvtec,zipper,2,cls,max,94.22268907563026,73.05672268907564,21.165966386554615,memory,91.59663865546219
mvtec,zipper,2,cls,oracle,94.22268907563026,73.05672268907564,21.165966386554615,memory,98.98897058823529
visa,fryum,2,seg,max,74.38324200794675,95.36518294968003,20.981940941733285,semantic,95.36518294968003
visa,fryum,2,seg,oracle,74.38324200794675,95.36518294968003,20.981940941733285,semantic,95.36518294968003
visa,chewinggum,2,seg,harmonic,78.86022018951515,99.58299914945418,20.722778959939035,semantic,99.58299914945418
visa,chewinggum,2,seg,max,78.56399748608439,99.20893545608756,20.64493797000317,semantic,99.20893545608756
visa,chewinggum,2,seg,oracle,78.56399748608439,99.20893545608756,20.64493797000317,semantic,99.20893545608756
visa,capsules,2,cls,oracle,55.942691029900324,76.39867109634551,20.455980066445186,semantic,100.0
visa,capsules,2,cls,max,55.942691029900324,76.39867109634551,20.455980066445186,semantic,76.17109634551495
visa,capsules,2,cls,harmonic,55.942691029900324,76.39867109634551,20.455980066445186,semantic,75.00996677740864
visa,macaroni2,4,seg,harmonic,94.95689610805525,74.89848221933393,20.05841388872132,memory,94.95689610805525
visa,macaroni2,4,seg,max,94.84360115921771,74.80911936040694,20.034481798810774,memory,94.84360115921771
visa,macaroni2,4,seg,oracle,94.84360115921771,74.80911936040694,20.034481798810774,memory,94.84360115921771
mvtec,hazelnut,4,cls,max,80.14285714285715,100.0,19.857142857142847,semantic,100.0
mvtec,hazelnut,4,cls,harmonic,80.14285714285715,100.0,19.857142857142847,semantic,99.23214285714286
mvtec,hazelnut,4,cls,oracle,80.14285714285715,100.0,19.857142857142847,semantic,100.0
mvtec,hazelnut,2,cls,oracle,80.10714285714286,99.85714285714286,19.75,semantic,100.0
mvtec,hazelnut,2,cls,max,80.10714285714286,99.85714285714286,19.75,semantic,99.85714285714286
mvtec,hazelnut,2,cls,harmonic,80.10714285714286,99.85714285714286,19.75,semantic,96.58928571428571
visa,chewinggum,4,seg,harmonic,80.59476634717117,99.60949826594236,19.01473191877119,semantic,99.60949826594236
visa,chewinggum,4,seg,max,80.21547643182058,99.14072243994568,18.9252460081251,semantic,99.14072243994568
visa,chewinggum,4,seg,oracle,80.21547643182058,99.14072243994568,18.9252460081251,semantic,99.14072243994568
mvtec,wood,2,seg,oracle,78.00024930921658,96.56460974404321,18.564360434826625,semantic,96.56460974404321
mvtec,wood,2,seg,max,78.00024930921658,96.56460974404321,18.564360434826625,semantic,96.56460974404321
mvtec,wood,2,seg,harmonic,77.76971602313091,96.27920864595666,18.509492622825746,semantic,96.27920864595666
mvtec,metal_nut,2,seg,max,94.36515036499476,77.00320207131753,17.36194829367723,memory,94.36515036499476
mvtec,metal_nut,2,seg,oracle,94.36515036499476,77.00320207131753,17.36194829367723,memory,94.36515036499476
mvtec,metal_nut,2,seg,harmonic,93.16411793104339,76.02314383108745,17.14097409995594,memory,93.16411793104339
visa,macaroni1,1,seg,harmonic,79.98923974611232,96.34138362541661,16.352143879304293,semantic,96.34138362541661
mvtec,hazelnut,1,cls,oracle,83.58928571428571,99.82142857142857,16.23214285714286,semantic,100.0
mvtec,hazelnut,1,cls,max,83.58928571428571,99.82142857142857,16.23214285714286,semantic,99.75
mvtec,hazelnut,1,cls,harmonic,83.58928571428571,99.82142857142857,16.23214285714286,semantic,98.82142857142857
visa,macaroni1,1,seg,oracle,79.35861394883281,95.58183944106597,16.223225492233155,semantic,95.58183944106597
visa,macaroni1,1,seg,max,79.35861394883281,95.58183944106597,16.223225492233155,semantic,95.58183944106597
visa,pcb2,4,seg,oracle,94.85184299646396,78.79775382933752,16.054089167126435,memory,94.85184299646396
visa,pcb2,4,seg,max,94.85184299646396,78.79775382933752,16.054089167126435,memory,94.85184299646396
visa,pcb2,4,seg,harmonic,93.63832377886925,77.78962804543723,15.848695733432024,memory,93.63832377886925
visa,pipe_fryum,2,cls,max,83.097,98.714,15.617000000000004,semantic,98.79100000000001
visa,pipe_fryum,2,cls,harmonic,83.097,98.714,15.617000000000004,semantic,98.249
visa,pipe_fryum,2,cls,oracle,83.097,98.714,15.617000000000004,semantic,99.569
mvtec,capsule,2,seg,max,80.96292916082072,95.43968417009968,14.47675500927896,semantic,95.43968417009968
mvtec,capsule,2,seg,oracle,80.96292916082072,95.43968417009968,14.47675500927896,semantic,95.43968417009968
mvtec,capsule,2,seg,harmonic,80.70834901233675,95.13958325701358,14.43123424467683,semantic,95.13958325701358
visa,pcb2,1,cls,max,63.74825174825175,78.05294705294705,14.3046953046953,semantic,78.60639360639361
visa,pcb2,1,cls,harmonic,63.74825174825175,78.05294705294705,14.3046953046953,semantic,79.89460539460539
visa,pcb2,1,cls,oracle,63.74825174825175,78.05294705294705,14.3046953046953,semantic,97.66733266733267
visa,capsules,1,cls,oracle,59.91029900332225,74.16362126245846,14.253322259136212,semantic,100.0
visa,capsules,1,cls,harmonic,59.91029900332225,74.16362126245846,14.253322259136212,semantic,72.33803986710963
visa,capsules,1,cls,max,59.91029900332225,74.16362126245846,14.253322259136212,semantic,74.21677740863787
mvtec,metal_nut,2,cls,oracle,85.55718475073313,99.41348973607037,13.856304985337246,semantic,99.99999999999999
mvtec,metal_nut,2,cls,harmonic,85.55718475073313,99.41348973607037,13.856304985337246,semantic,99.48680351906158
mvtec,metal_nut,2,cls,max,85.55718475073313,99.41348973607037,13.856304985337246,semantic,99.38905180840665
mvtec,toothbrush,4,cls,oracle,84.44444444444444,97.22222222222223,12.777777777777786,semantic,100.0
mvtec,toothbrush,4,cls,max,84.44444444444444,97.22222222222223,12.777777777777786,semantic,97.22222222222223
mvtec,toothbrush,4,cls,harmonic,84.44444444444444,97.22222222222223,12.777777777777786,semantic,94.72222222222221
mvtec,metal_nut,4,cls,oracle,87.2434017595308,100.0,12.756598240469202,semantic,100.0
mvtec,metal_nut,4,cls,harmonic,87.2434017595308,100.0,12.756598240469202,semantic,100.0
mvtec,metal_nut,4,cls,max,87.2434017595308,100.0,12.756598240469202,semantic,100.0
visa,pcb2,1,seg,harmonic,83.5741925371577,96.11111145447848,12.536918917320776,semantic,96.11111145447848
visa,capsules,4,cls,harmonic,57.80813953488373,70.27906976744187,12.470930232558139,semantic,70.19186046511628
visa,capsules,4,cls,oracle,57.80813953488373,70.27906976744187,12.470930232558139,semantic,100.0
visa,capsules,4,cls,max,57.80813953488373,70.27906976744187,12.470930232558139,semantic,70.1295681063123
visa,pcb2,1,seg,max,82.843717434427,95.27105818107046,12.427340746643452,semantic,95.27105818107046
visa,pcb2,1,seg,oracle,82.843717434427,95.27105818107046,12.427340746643452,semantic,95.27105818107046
mvtec,capsule,1,cls,max,74.05265257279618,61.826884722776235,12.225767850019942,memory,74.05265257279618
mvtec,capsule,1,cls,harmonic,74.05265257279618,61.826884722776235,12.225767850019942,memory,62.72437175907461
mvtec,capsule,1,cls,oracle,74.05265257279618,61.826884722776235,12.225767850019942,memory,100.0
visa,fryum,4,cls,max,76.88600000000001,88.99600000000001,12.11,semantic,90.104
visa,fryum,4,cls,harmonic,76.88600000000001,88.99600000000001,12.11,semantic,90.157
visa,fryum,4,cls,oracle,76.88600000000001,88.99600000000001,12.11,semantic,98.099
mvtec,capsule,1,seg,harmonic,82.09603558137624,94.09773088650888,12.001695305132642,semantic,94.09773088650888
mvtec,capsule,1,seg,oracle,81.31845875667267,93.20647938725693,11.888020630584265,semantic,93.20647938725693
mvtec,capsule,1,seg,max,81.31845875667267,93.20647938725693,11.888020630584265,semantic,93.20647938725693
mvtec,capsule,2,cls,harmonic,73.69365775827683,84.84244116473873,11.148783406461902,semantic,82.0702034303949
mvtec,capsule,2,cls,max,73.69365775827683,84.84244116473873,11.148783406461902,semantic,85.6003191065018
mvtec,capsule,2,cls,oracle,73.69365775827683,84.84244116473873,11.148783406461902,semantic,93.67770243318706
visa,pipe_fryum,1,cls,oracle,88.06599999999999,99.214,11.14800000000001,semantic,100.0
visa,pipe_fryum,1,cls,harmonic,88.06599999999999,99.214,11.14800000000001,semantic,97.88900000000001
visa,pipe_fryum,1,cls,max,88.06599999999999,99.214,11.14800000000001,semantic,99.238
mvtec,metal_nut,1,cls,harmonic,87.90322580645162,98.7781036168133,10.874877810361681,semantic,98.63147605083088
mvtec,metal_nut,1,cls,oracle,87.90322580645162,98.7781036168133,10.874877810361681,semantic,99.60899315738025
mvtec,metal_nut,1,cls,max,87.90322580645162,98.7781036168133,10.874877810361681,semantic,98.8514173998045
visa,pcb2,4,cls,max,64.83616383616383,75.68031968031967,10.844155844155836,semantic,76.09590409590409
visa,pcb2,4,cls,harmonic,64.83616383616383,75.68031968031967,10.844155844155836,semantic,77.5104895104895
visa,pcb2,4,cls,oracle,64.83616383616383,75.68031968031967,10.844155844155836,semantic,100.0
visa,pcb2,2,cls,oracle,64.08291708291709,74.9090909090909,10.826173826173815,semantic,100.0
visa,pcb2,2,cls,harmonic,64.08291708291709,74.9090909090909,10.826173826173815,semantic,77.0054945054945
visa,pcb2,2,cls,max,64.08291708291709,74.9090909090909,10.826173826173815,semantic,75.15784215784215
visa,candle,2,cls,oracle,95.11800000000001,84.341,10.777000000000015,memory,100.0
visa,candle,2,cls,harmonic,95.11800000000001,84.341,10.777000000000015,memory,85.031
visa,candle,2,cls,max,95.11800000000001,84.341,10.777000000000015,memory,95.11800000000001
visa,macaroni2,2,cls,oracle,66.76149999999998,77.49499999999999,10.733500000000006,semantic,100.0
visa,macaroni2,2,cls,harmonic,66.76149999999998,77.49499999999999,10.733500000000006,semantic,76.92049999999999
visa,macaroni2,2,cls,max,66.76149999999998,77.49499999999999,10.733500000000006,semantic,77.5565
mvtec,hazelnut,4,seg,max,88.02492326548888,98.75566561726087,10.730742351771994,semantic,98.75566561726087
mvtec,hazelnut,4,seg,oracle,88.02492326548888,98.75566561726087,10.730742351771994,semantic,98.75566561726087
mvtec,hazelnut,4,seg,harmonic,87.74941755378562,98.44657418120757,10.697156627421947,semantic,98.44657418120757
mvtec,screw,2,cls,max,66.41729862676777,55.91309694609551,10.504201680672267,memory,66.41729862676777
mvtec,screw,2,cls,harmonic,66.41729862676777,55.91309694609551,10.504201680672267,memory,58.03443328550932
mvtec,screw,2,cls,oracle,66.41729862676777,55.91309694609551,10.504201680672267,memory,100.0
visa,macaroni2,4,cls,max,63.1125,73.26400000000001,10.151500000000013,semantic,73.2415
visa,macaroni2,4,cls,oracle,63.1125,73.26400000000001,10.151500000000013,semantic,99.9885
visa,macaroni2,4,cls,harmonic,63.1125,73.26400000000001,10.151500000000013,semantic,71.03599999999999
