dataset,class,k,task,status,duration,output
mvtec,bottle,1,CLS,success,0.779070504506429,"Building memory bank from training data...
Memory bank built: 225 samples

================================================================================
Object:bottle =========================== Image-AUROC:98.49
进程起始时间: 2025-12-25 10:06:26
进程终止时间: 2025-12-25 10:07:10
进程用时: 0小时 0分钟 43秒
================================================================================

"
mvtec,cable,1,CLS,success,1.8384948054949442,"Building memory bank from training data...
Memory bank built: 225 samples

================================================================================
Object:cable =========================== Image-AUROC:80.44
进程起始时间: 2025-12-25 10:06:26
进程终止时间: 2025-12-25 10:08:14
进程用时: 0小时 1分钟 47秒
================================================================================

"
mvtec,capsule,1,CLS,success,1.6246862649917602,"Building memory bank from training data...
Memory bank built: 225 samples

================================================================================
Object:capsule =========================== Image-AUROC:77.24
进程起始时间: 2025-12-25 10:07:13
进程终止时间: 2025-12-25 10:08:48
进程用时: 0小时 1分钟 34秒
================================================================================

"
mvtec,carpet,1,CLS,success,1.557189663251241,"Building memory bank from training data...
Memory bank built: 225 samples

================================================================================
Object:carpet =========================== Image-AUROC:99.96
进程起始时间: 2025-12-25 10:08:17
进程终止时间: 2025-12-25 10:09:47
进程用时: 0小时 1分钟 30秒
================================================================================

"
mvtec,grid,1,CLS,success,0.6614172259966532,"Building memory bank from training data...
Memory bank built: 225 samples

================================================================================
Object:grid =========================== Image-AUROC:99.58
进程起始时间: 2025-12-25 10:08:50
进程终止时间: 2025-12-25 10:09:27
进程用时: 0小时 0分钟 36秒
================================================================================

"
mvtec,hazelnut,1,CLS,success,1.3353133082389832,"Building memory bank from training data...
Memory bank built: 225 samples

================================================================================
Object:hazelnut =========================== Image-AUROC:96.18
进程起始时间: 2025-12-25 10:09:30
进程终止时间: 2025-12-25 10:10:47
进程用时: 0小时 1分钟 17秒
================================================================================

"
mvtec,leather,1,CLS,success,1.4713089744249979,"Building memory bank from training data...
Memory bank built: 225 samples

================================================================================
Object:leather =========================== Image-AUROC:100.0
进程起始时间: 2025-12-25 10:09:50
进程终止时间: 2025-12-25 10:11:15
进程用时: 0小时 1分钟 25秒
================================================================================

"
mvtec,metal_nut,1,CLS,success,0.8582392175992329,"Building memory bank from training data...
Memory bank built: 225 samples

================================================================================
Object:metal_nut =========================== Image-AUROC:94.82
进程起始时间: 2025-12-25 10:10:50
进程终止时间: 2025-12-25 10:11:39
进程用时: 0小时 0分钟 48秒
================================================================================

"
mvtec,pill,1,CLS,success,1.405316420396169,"Building memory bank from training data...
Memory bank built: 225 samples

================================================================================
Object:pill =========================== Image-AUROC:83.82
进程起始时间: 2025-12-25 10:11:18
进程终止时间: 2025-12-25 10:12:40
进程用时: 0小时 1分钟 21秒
================================================================================

"
mvtec,screw,1,CLS,success,1.0506214181582132,"Building memory bank from training data...
Memory bank built: 225 samples

================================================================================
Object:screw =========================== Image-AUROC:62.31
进程起始时间: 2025-12-25 10:11:42
进程终止时间: 2025-12-25 10:12:42
进程用时: 0小时 1分钟 0秒
================================================================================

"
mvtec,tile,1,CLS,success,1.1768948117891946,"Building memory bank from training data...
Memory bank built: 225 samples

================================================================================
Object:tile =========================== Image-AUROC:99.96
进程起始时间: 2025-12-25 10:12:43
进程终止时间: 2025-12-25 10:13:50
进程用时: 0小时 1分钟 7秒
================================================================================

"
mvtec,toothbrush,1,CLS,success,0.6854061484336853,"Building memory bank from training data...
Memory bank built: 225 samples

================================================================================
Object:toothbrush =========================== Image-AUROC:83.61
进程起始时间: 2025-12-25 10:12:45
进程终止时间: 2025-12-25 10:13:23
进程用时: 0小时 0分钟 38秒
================================================================================

"
mvtec,transistor,1,CLS,success,1.3085848848025003,"Building memory bank from training data...
Memory bank built: 225 samples

================================================================================
Object:transistor =========================== Image-AUROC:86.04
进程起始时间: 2025-12-25 10:13:26
进程终止时间: 2025-12-25 10:14:42
进程用时: 0小时 1分钟 15秒
================================================================================

"
mvtec,wood,1,CLS,success,1.1602064530054728,"Building memory bank from training data...
Memory bank built: 225 samples

================================================================================
Object:wood =========================== Image-AUROC:99.65
进程起始时间: 2025-12-25 10:13:53
进程终止时间: 2025-12-25 10:15:00
进程用时: 0小时 1分钟 6秒
================================================================================

"
mvtec,zipper,1,CLS,success,1.0430540998776754,"Building memory bank from training data...
Memory bank built: 225 samples

================================================================================
Object:zipper =========================== Image-AUROC:94.25
进程起始时间: 2025-12-25 10:14:44
进程终止时间: 2025-12-25 10:15:44
进程用时: 0小时 0分钟 59秒
================================================================================

"
visa,candle,1,CLS,success,3.2624239524205527,"Building memory bank from training data...
Memory bank built: 225 samples

================================================================================
Object:candle =========================== Image-AUROC:91.79
进程起始时间: 2025-12-25 10:15:03
进程终止时间: 2025-12-25 10:18:15
进程用时: 0小时 3分钟 12秒
================================================================================

"
visa,capsules,1,CLS,success,2.4424826820691425,"Building memory bank from training data...
Memory bank built: 225 samples

================================================================================
Object:capsules =========================== Image-AUROC:67.21
进程起始时间: 2025-12-25 10:15:47
进程终止时间: 2025-12-25 10:18:11
进程用时: 0小时 2分钟 23秒
================================================================================

"
visa,cashew,1,CLS,success,2.2249361912409467,"Building memory bank from training data...
Memory bank built: 225 samples

================================================================================
Object:cashew =========================== Image-AUROC:90.6
进程起始时间: 2025-12-25 10:18:13
进程终止时间: 2025-12-25 10:20:24
进程用时: 0小时 2分钟 10秒
================================================================================

"
visa,chewinggum,1,CLS,success,1.8982108036677043,"Building memory bank from training data...
Memory bank built: 225 samples

================================================================================
Object:chewinggum =========================== Image-AUROC:93.49
进程起始时间: 2025-12-25 10:18:18
进程终止时间: 2025-12-25 10:20:09
进程用时: 0小时 1分钟 51秒
================================================================================

"
visa,fryum,1,CLS,success,1.9952783266703287,"Building memory bank from training data...
Memory bank built: 225 samples

================================================================================
Object:fryum =========================== Image-AUROC:91.35
进程起始时间: 2025-12-25 10:20:12
进程终止时间: 2025-12-25 10:22:09
进程用时: 0小时 1分钟 56秒
================================================================================

"
visa,macaroni1,1,CLS,success,3.135237526893616,"Building memory bank from training data...
Memory bank built: 225 samples

================================================================================
Object:macaroni1 =========================== Image-AUROC:79.56
进程起始时间: 2025-12-25 10:20:27
进程终止时间: 2025-12-25 10:23:32
进程用时: 0小时 3分钟 5秒
================================================================================

"
visa,macaroni2,1,CLS,success,3.0398788770039875,"Building memory bank from training data...
Memory bank built: 225 samples

================================================================================
Object:macaroni2 =========================== Image-AUROC:66.66
进程起始时间: 2025-12-25 10:22:12
进程终止时间: 2025-12-25 10:25:12
进程用时: 0小时 2分钟 59秒
================================================================================

"
visa,pcb1,1,CLS,success,3.615193184216817,"Building memory bank from training data...
Memory bank built: 225 samples

================================================================================
Object:pcb1 =========================== Image-AUROC:91.52
进程起始时间: 2025-12-25 10:23:35
进程终止时间: 2025-12-25 10:27:09
进程用时: 0小时 3分钟 33秒
================================================================================

"
visa,pcb2,1,CLS,success,3.5477327942848205,"Building memory bank from training data...
Memory bank built: 225 samples

================================================================================
Object:pcb2 =========================== Image-AUROC:83.53
进程起始时间: 2025-12-25 10:25:14
进程终止时间: 2025-12-25 10:28:44
进程用时: 0小时 3分钟 29秒
================================================================================

"
visa,pcb3,1,CLS,success,3.213201411565145,"Building memory bank from training data...
Memory bank built: 225 samples

================================================================================
Object:pcb3 =========================== Image-AUROC:70.72
进程起始时间: 2025-12-25 10:27:12
进程终止时间: 2025-12-25 10:30:22
进程用时: 0小时 3分钟 9秒
================================================================================

"
visa,pcb4,1,CLS,success,3.5756908218065897,"Building memory bank from training data...
Memory bank built: 225 samples

================================================================================
Object:pcb4 =========================== Image-AUROC:90.27
进程起始时间: 2025-12-25 10:28:47
进程终止时间: 2025-12-25 10:32:19
进程用时: 0小时 3分钟 31秒
================================================================================

"
visa,pipe_fryum,1,CLS,success,1.8994206031163534,"Building memory bank from training data...
Memory bank built: 225 samples

================================================================================
Object:pipe_fryum =========================== Image-AUROC:92.29
进程起始时间: 2025-12-25 10:30:25
进程终止时间: 2025-12-25 10:32:16
进程用时: 0小时 1分钟 51秒
================================================================================

"
